RT rt_PROPN_Masc_Sing
@Mmoreirabarreto twitterhandle_VERB_Fin_Sing
: :
@Z_LyhGomes twitterhandle_VERB_Fin_Sing
@Longojoo twitterhandle_NOUN_Masc_Sing
Nao nao_PROPN_Masc_Sing
bastasse bastar_VERB_Fin_Sing
não não_ADV
ajudar ajudar_VERB_Inf
na em_o_ADP_DET_Fem_Sing
limpeza limpeza_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
petróleo petróleo_NOUN_Masc_Sing
venezuelano venezuelano_ADJ_Masc_Sing
nas em_o_ADP_DET_Fem_Plur
praias praia_NOUN_Fem_Plur
do de_o_ADP_DET_Masc_Sing
Nordeste nordeste_NOUN_Masc_Sing
, ,
os o_DET_Masc_Plur
ecoterrori ecoterrori_NOUN_Masc_Plur
… …
