RT rt_PROPN_Masc_Sing
@gerdwenzel twitterhandle_PROPN_Sing
: :
Domingo domingo_NOUN_Masc_Sing
, ,
2 2_NUM
de de_ADP
setembro setembro_NOUN_Masc_Sing
de de_ADP
2018 @card@
. .
Em em_ADP
Pacaraima pacaraima_PROPN_Masc_Sing
padre padre_NOUN_Masc_Sing
oferece oferecer_VERB_Fin_Sing
ajuda ajuda_NOUN_Fem_Sing
humanitária humanitário_ADJ_Fem_Sing
aos a_o_ADP_DET_Masc_Plur
refugiados refugiado_NOUN_Masc_Plur
venezuelanos venezuelano_ADJ_Masc_Plur
e e_CCONJ
é ser_AUX_Fin_Sing
ameaçado ameaçar_VERB_Part
por por_ADP
… …
