RT rt_NOUN_Masc_Sing
@Valdomi27063564 twitterhandle_NUM
: :
Concentração concentração_NOUN_Fem_Sing
promovida promover_VERB_Part_Fem_Sing
pela por_o_ADP_DET_Fem_Sing
população população_NOUN_Fem_Sing
Venezuelana venezuelana_PROPN_Fem_Sing
em em_ADP
Boa boa_PROPN_Sing
Vista-Roraima vista-roraima
em em_ADP
apoio apoio_NOUN_Masc_Sing
ao a_o_ADP_DET_Masc_Sing
Presidente presidente_NOUN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
. .
Esse esse_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
sab sab_PROPN_Masc_Sing
… …
