Name1	Name2	corr
clima_noun_masc_sing	pintar_verb_fin_sing	0.82520563
pintar_verb_fin_sing	clima_noun_masc_sing	0.82520563
eyes_e	smiling_face_with_heart	0.78563696
smiling_face_with_heart	eyes_e	0.78563696
direito_noun_masc_plur	humano_adj_masc_plur	0.65050306
humano_adj_masc_plur	direito_noun_masc_plur	0.65050306
corte_noun_fem_sing	supremo_adj_fem_sing	0.61075806
supremo_adj_fem_sing	corte_noun_fem_sing	0.61075806
diplomata_noun_masc_plur	expulsão_noun_fem_sing	0.56522977
expulsão_noun_fem_sing	diplomata_noun_masc_plur	0.56522977
presidente	vice	0.56196265
vice	presidente	0.56196265
ajuda_noun_fem_sing	humanitário_adj_fem_sing	0.56040747
humanitário_adj_fem_sing	ajuda_noun_fem_sing	0.56040747
salário_noun_masc_sing	pequeno_adj_masc_sing	0.53890239
pequeno_adj_masc_sing	salário_noun_masc_sing	0.53890239
preso_noun_masc_plur	político_adj_masc_plur	0.5133237
político_adj_masc_plur	preso_noun_masc_plur	0.5133237
urna_noun_fem_plur	eletrônico_adj_fem_plur	0.49849988
eletrônico_adj_fem_plur	urna_noun_fem_plur	0.49849988
mão_noun_fem_plur	sangue_noun_masc_sing	0.49353811
sangue_noun_masc_sing	mão_noun_fem_plur	0.49353811
nordeste_noun_masc_sing	praia_noun_fem_plur	0.4818334
praia_noun_fem_plur	nordeste_noun_masc_sing	0.4818334
lei_noun_fem_sing	anistia_noun_fem_sing	0.4783057
anistia_noun_fem_sing	lei_noun_fem_sing	0.4783057
venezuelano_adj_fem_plur	menino_noun_fem_plur	0.47010203
menino_noun_fem_plur	venezuelano_adj_fem_plur	0.47010203
extraditar_verb_inf	concordar_verb_fin_sing	0.44389822
concordar_verb_fin_sing	extraditar_verb_inf	0.44389822
tráfico_noun_masc_sing	droga_noun_fem_plur	0.43233134
droga_noun_fem_plur	tráfico_noun_masc_sing	0.43233134
cubano_adj_fem_sing	ditadura_noun_fem_plur	0.42815985
ditadura_noun_fem_plur	cubano_adj_fem_sing	0.42815985
denunciar_verb_fin_plur	fechamento_noun_masc_sing	0.42557267
fechamento_noun_masc_sing	denunciar_verb_fin_plur	0.42557267
expulsão_noun_fem_sing	suspender_verb_fin_sing	0.41716697
suspender_verb_fin_sing	expulsão_noun_fem_sing	0.41716697
refúgio_noun_masc_sing	pedido_noun_masc_plur	0.41517055
pedido_noun_masc_plur	refúgio_noun_masc_sing	0.41517055
inteligência_noun_fem_sing	chefe	0.4054514
chefe	inteligência_noun_fem_sing	0.4054514
filho_noun_masc_sing	puto_noun_fem_sing	0.38920391
puto_noun_fem_sing	filho_noun_masc_sing	0.38920391
financiar_verb_fin_sing	chefe	0.37273875
chefe	financiar_verb_fin_sing	0.37273875
social_adj_fem_sing	abrigar_verb_fin_sing	0.36593258
abrigar_verb_fin_sing	social_adj_fem_sing	0.36593258
óleo_noun_masc_sing	nordeste_noun_masc_sing	0.36462889
nordeste_noun_masc_sing	óleo_noun_masc_sing	0.36462889
venezuelano_adj_masc_sing	povo_noun_masc_sing	0.34505618
povo_noun_masc_sing	venezuelano_adj_masc_sing	0.34505618
pobreza_noun_fem_sing	extremo_adj_fem_sing	0.3432909
extremo_adj_fem_sing	pobreza_noun_fem_sing	0.3432909
bolivariano_adj_fem_sing	tirania_noun_fem_sing	0.33224335
tirania_noun_fem_sing	bolivariano_adj_fem_sing	0.33224335
pedido_noun_masc_sing	desculpa_noun_fem_plur	0.32358081
desculpa_noun_fem_plur	pedido_noun_masc_sing	0.32358081
expulsão_noun_fem_sing	barroso_noun_masc_sing	0.32178122
barroso_noun_masc_sing	expulsão_noun_fem_sing	0.32178122
ação_noun_fem_sing	social_adj_fem_sing	0.31664648
social_adj_fem_sing	ação_noun_fem_sing	0.31664648
lixo_noun_masc_sing	comer_verb_ger	0.31573278
comer_verb_ger	lixo_noun_masc_sing	0.31573278
argentino_noun_masc_plur	chileno_noun_masc_plur	0.31532688
chileno_noun_masc_plur	argentino_noun_masc_plur	0.31532688
militar_noun_masc_plur	desertar_verb_fin_plur	0.31369806
desertar_verb_fin_plur	militar_noun_masc_plur	0.31369806
jornalista_noun_masc_plur	fechamento_noun_masc_sing	0.30658715
fechamento_noun_masc_sing	jornalista_noun_masc_plur	0.30658715
fronteira_noun_fem_sing	cruzar_verb_fin_plur	0.30544954
cruzar_verb_fin_plur	fronteira_noun_fem_sing	0.30544954
embaixada_noun_fem_sing	invasão_noun_fem_sing	0.30451796
invasão_noun_fem_sing	embaixada_noun_fem_sing	0.30451796
óleo_noun_masc_sing	praia_noun_fem_plur	0.30246838
praia_noun_fem_plur	óleo_noun_masc_sing	0.30246838
seleção_noun_fem_sing	convocar_verb_part_masc_sing	0.30137396
convocar_verb_part_masc_sing	seleção_noun_fem_sing	0.30137396
venezuelano_adj_masc_plur	irmão_noun_masc_plur	0.29840981
irmão_noun_masc_plur	venezuelano_adj_masc_plur	0.29840981
general_noun_masc_sing	extraditar_verb_inf	0.29640068
extraditar_verb_inf	general_noun_masc_sing	0.29640068
diplomata_noun_masc_plur	suspender_verb_fin_sing	0.28526192
suspender_verb_fin_sing	diplomata_noun_masc_plur	0.28526192
país_noun_masc_plur	vizinho_adj_masc_plur	0.28424883
vizinho_adj_masc_plur	país_noun_masc_plur	0.28424883
venezuelano_adj_masc_plur	refugiado_noun_masc_plur	0.28100339
refugiado_noun_masc_plur	venezuelano_adj_masc_plur	0.28100339
venezuelano_adj_fem_plur	pintar_verb_fin_sing	0.27912129
pintar_verb_fin_sing	venezuelano_adj_fem_plur	0.27912129
rejeitar_verb_fin_sing	investigar_verb_inf	0.2779419
investigar_verb_inf	rejeitar_verb_fin_sing	0.2779419
suspender_verb_fin_sing	barroso_noun_masc_sing	0.27548642
barroso_noun_masc_sing	suspender_verb_fin_sing	0.27548642
flag_venezuela_e	flag_brazil_e	0.27485288
flag_brazil_e	flag_venezuela_e	0.27485288
diplomata_noun_masc_plur	expulsar_verb_inf	0.26988474
expulsar_verb_inf	diplomata_noun_masc_plur	0.26988474
sistema_noun_masc_sing	eleitoral_adj_masc_sing	0.26584252
eleitoral_adj_masc_sing	sistema_noun_masc_sing	0.26584252
ação_noun_fem_sing	abrigar_verb_fin_sing	0.26395659
abrigar_verb_fin_sing	ação_noun_fem_sing	0.26395659
militar_adj_fem_sing	inteligência_noun_fem_sing	0.26357884
inteligência_noun_fem_sing	militar_adj_fem_sing	0.26357884
diplomata_noun_masc_plur	barroso_noun_masc_sing	0.26284132
barroso_noun_masc_sing	diplomata_noun_masc_plur	0.26284132
chefe_noun_masc_sing	tráfico_noun_masc_sing	0.26205504
tráfico_noun_masc_sing	chefe_noun_masc_sing	0.26205504
medo_noun_masc_sing	virar_verb_inf_sing	0.26032316
virar_verb_inf_sing	medo_noun_masc_sing	0.26032316
venezuelano_adj_fem_plur	clima_noun_masc_sing	0.25973467
clima_noun_masc_sing	venezuelano_adj_fem_plur	0.25973467
inteligência_noun_fem_sing	chavista_adj_fem_sing	0.25875432
chavista_adj_fem_sing	inteligência_noun_fem_sing	0.25875432
diplomata_noun_masc_sing	sequestro_noun_masc_sing	0.25855742
sequestro_noun_masc_sing	diplomata_noun_masc_sing	0.25855742
venezuelano_adj_fem_sing	oposição_noun_fem_sing	0.25534638
oposição_noun_fem_sing	venezuelano_adj_fem_sing	0.25534638
restaurante_noun_masc_sing	luxo_noun_masc_sing	0.24993276
luxo_noun_masc_sing	restaurante_noun_masc_sing	0.24993276
militar_adj_fem_sing	chefe	0.24921725
chefe	militar_adj_fem_sing	0.24921725
fome_noun_fem_sing	passar_verb_ger	0.24462589
passar_verb_ger	fome_noun_fem_sing	0.24462589
óleo_noun_masc_sing	origem_noun_fem_sing	0.24189975
origem_noun_fem_sing	óleo_noun_masc_sing	0.24189975
venezuelano_adj_fem_sing	ditadura_noun_fem_sing	0.23912921
ditadura_noun_fem_sing	venezuelano_adj_fem_sing	0.23912921
jornalista_noun_masc_plur	denunciar_verb_fin_plur	0.23890854
denunciar_verb_fin_plur	jornalista_noun_masc_plur	0.23890854
financiar_verb_fin_sing	chavista_adj_fem_sing	0.23782014
chavista_adj_fem_sing	financiar_verb_fin_sing	0.23782014
menino_noun_fem_plur	pintar_verb_fin_sing	0.23766688
pintar_verb_fin_sing	menino_noun_fem_plur	0.23766688
diplomata_noun_masc_sing	speaking_head_e	0.23568498
speaking_head_e	diplomata_noun_masc_sing	0.23568498
vez_noun_fem_sing	primeiro_adj_fem_sing	0.23362514
primeiro_adj_fem_sing	vez_noun_fem_sing	0.23362514
pedir_verb_fin_plur	asilo_noun_masc_sing	0.23352336
asilo_noun_masc_sing	pedir_verb_fin_plur	0.23352336
bilhão_noun_masc_plur	governo_noun_masc_plur	0.23225585
governo_noun_masc_plur	bilhão_noun_masc_plur	0.23225585
pobreza_noun_fem_sing	linha_noun_fem_sing	0.23202745
linha_noun_fem_sing	pobreza_noun_fem_sing	0.23202745
óleo_noun_masc_sing	navio_noun_masc_sing	0.23165164
navio_noun_masc_sing	óleo_noun_masc_sing	0.23165164
anistia_noun_fem_sing	político_noun_masc_plur	0.23040953
político_noun_masc_plur	anistia_noun_fem_sing	0.23040953
argentino_adj_masc_plur	boliviano_adj_masc_plur	0.23024243
boliviano_adj_masc_plur	argentino_adj_masc_plur	0.23024243
coisa_noun_fem_sing	mesmo_adj_fem_sing	0.23017689
mesmo_adj_fem_sing	coisa_noun_fem_sing	0.23017689
chefe	chavista_adj_fem_sing	0.22869998
chavista_adj_fem_sing	chefe	0.22869998
menino_noun_fem_plur	clima_noun_masc_sing	0.22839617
clima_noun_masc_sing	menino_noun_fem_plur	0.22839617
speaking_head_e	sequestro_noun_masc_sing	0.22733089
sequestro_noun_masc_sing	speaking_head_e	0.22733089
emergência_noun_fem_sing	chegada_noun_fem_sing	0.22724689
chegada_noun_fem_sing	emergência_noun_fem_sing	0.22724689
índio_noun_masc_plur	emergência_noun_fem_sing	0.22715478
emergência_noun_fem_sing	índio_noun_masc_plur	0.22715478
